episode,episode_length,total_rewards,avg_q,epsilon
42,12,"tf.Tensor(
[  0.   0.   6.  -6.   6.   6.   0.   6.   0.   6.   0.   6.  -6.   6.
  -6.   0.  -6.   0.   6.  -6. -12.   0.   6. -12.   0. -12.  -6. -12.
   6. -12.   0.   0.  -6.  -6.  -6.   0.   0. -12.  -6.  -6.   0.  -6.
  -6.   0.  -6.  -6.   0.   0. -12.   0.   0. -12.  -6.  -6.  -6.   0.
 -12.  -6.  -6.  -6.   6. -12.   0.   0.], shape=(64,), dtype=float32)",0.2586457,0.8110085004624524
43,54,"tf.Tensor(
[-18. -12.   6.   6.  12. -30. -36. -24. -12. -18. -12. -30. -12. -12.
 -24.  18.  -6.   0. -18. -24.   6.   6. -18. -54.  -6. -30.  -6.  18.
  -6.   0. -12. -36.  -6. -18. -24.  -6.  24. -18.  18.   0.   6.   0.
  12. -18. -12. -12. -18. -42. -12. -24. -18.  -6. -36. -24.  -6.  -6.
 -12.  -6. -12.  -6. -18. -12.   0. -12.], shape=(64,), dtype=float32)",0.26406726,0.8069736323009478
44,25,"tf.Tensor(
[  5. -13.  -7.   5.   5.  -5.  11.  -1.  -7.  -7.  -1.   5.  -7. -17.
  -5. -13.  -7.  -5. -11.  -7.  -7. -11.   1.  -7.  -7. -19. -13.  -1.
 -13. -13.   1.  -5.  -1.  -1. -13.  13.  -7. -19. -11. -19.  -7.   1.
  -1.   1.   5. -13.  -1.   1. -11.  -7. -11. -11. -11. -19.   1.  -7.
 -19.   7.   7.  -7.  -1.  11.  -7. -11.], shape=(64,), dtype=float32)",0.3426754,0.8029588381103959
45,29,"tf.Tensor(
[-11. -17.   1. -11. -17.  -1. -11.  -5. -11. -17. -11. -11.  -5.  -1.
 -13. -11. -11. -13.  -1.  -5. -23. -13.  -7.  -5.   7. -17. -17.  -5.
   1. -11.   5.   5. -23. -11.  -5.  -7. -11. -17. -13.   7.  -5.  -1.
  -5. -13. -17.   1. -11.  -1.  -7.  -5.  -7.  11.  -7.  -5.  -7. -17.
   7.  -7.  -1. -17. -17. -11.  -5. -13.], shape=(64,), dtype=float32)",0.35478148,0.7989640180202945
46,11,"tf.Tensor(
[-11.  -5.  -5.  -1. -11. -11.  -5.   5.   7.   1.  -5.   5.   5.  -5.
  -1.  -5.  -5.  -5. -11.  -1.  -1.  -1.  -5.   5.  -5.   1. -11.   1.
   7.  -5.   1.  11.  -5.  -7.  -5.  -5.  -7.  -7.   1. -11.  -5.  -5.
  -7.   5.   1. -11.  -7.  -1.  -7.  -5.  11.   5.   1.  -1.  -1.   1.
 -11.   5.  -5.  -5.  -1.  -7.  -5.  -5.], shape=(64,), dtype=float32)",0.30473623,0.7949890726570096
47,33,"tf.Tensor(
[  1.  -3.  -9. -13.  -3.   1.  -3. -13. -11. -15. -27. -13. -13. -21.
 -13. -15.  -9.  -5.  -9.  -1.  -9.   3. -15.  -9.   1. -11. -15.  -9.
  -9. -27.   9. -25. -15. -31. -17.  -9.  -9. -13.   1.  -3.  -9. -15.
 -15. -13.   1. -21.  -1. -15.  -3. -15. -13.  -9. -21.  -9.   3.  -3.
  -3.   9. -21.  -9. -19. -27. -21. -11.], shape=(64,), dtype=float32)",0.2744142,0.7910339031413032
48,55,"tf.Tensor(
[-23. -13. -13. -31. -13.  13. -13.  -1.  -5. -19. -13. -19.  -7. -19.
 -25. -13. -19.  13. -19. -37. -35. -17.  17. -11.  -5.  -5.  -1. -19.
 -13.   5. -19. -13.   5.  -7. -23. -25. -29.  -1.   1.  11.  -1. -25.
  13.  -7.   7. -13.  -1. -17. -23. -19.  11.   7.  -7. -11. -11. -25.
 -25. -11. -13.   5. -13. -11. -25. -17.], shape=(64,), dtype=float32)",0.31307763,0.7870984110858739
49,82,"tf.Tensor(
[-26. -34. -28. -52. -26.   4. -22. -10.  -8. -26. -40. -16. -16. -32.
 -10. -26.  -4. -22. -22. -46. -38. -22.  -4. -22. -38. -22. -10. -10.
 -38. -34.   4. -38. -46.  -4. -10.  14. -14. -22. -16. -32. -16. -22.
 -10. -14. -34. -44. -32. -10. -16.   8.   4. -28. -20. -10.  -8. -16.
 -44. -28. -14. -28. -14. -46. -16. -22.], shape=(64,), dtype=float32)",0.27382943,0.7831824985929094
50,20,"tf.Tensor(
[  2.  16.   4.  -2.  -4. -10.  -8. -14. -10.  -4.  -8.   4.  -8.  -4.
  -8.  -4.  -2.  -8.   4. -14.  -4.  -8.   4. -14. -10. -14. -14.  -8.
   2.  -2. -10.  -4.  -8. -14.  -8.   4. -10.  -8.  -2.  -4. -14. -14.
 -14. -10. -14. -10.  -4.  -8. -14.  -2. -16.  -8. -10. -14.  -4.  -8.
 -10. -14. -10.   4. -10. -14.  -8.  -2.], shape=(64,), dtype=float32)",0.24662538,0.7792860682516513
51,30,"tf.Tensor(
[ -6. -18.   0. -12. -18. -12.  -6.   0.   0. -18.  -6. -12.   0.   0.
 -18.   0. -18. -12. -12.  12. -12. -12.  -6.  -6. -12.  -6.  -6.   6.
 -12.   0. -18.  18.  12.  -6.  12.   0. -12.   0.   6. -12. -18. -18.
  -6.  -6. -12.  -6.  -6. -12. -18.  -6.  -6.   0. -12. -12.  -6.  -6.
 -18.  -6.   6.  -6. -12.  -6. -12.  -6.], shape=(64,), dtype=float32)",0.43134475,0.7754090231359715
